chapter_id,chapter_sequence_no,book_id,author_id,published_date,tags
5816610,9,286638,14234,2004-07-05,Thriller|Science Fiction|Young Adult|Mystery
7585328,10,286638,14234,2004-05-10,Dystopian|Young Adult|Graphic Novel
5888842,11,286638,14234,2004-11-24,Romance|Literary Fiction|Adventure|Young Adult
8745239,12,286638,14234,2004-12-21,Young Adult
8157483,13,286638,14234,2004-07-21,Science Fiction|Young Adult
1943546,14,286638,14234,2004-11-27,Historical Fiction|Literary Fiction|Young Adult
6357870,15,286638,14234,2005-01-29,Graphic Novel|Paranormal|Dystopian|Young Adult
1417863,16,286638,14234,2004-06-27,Young Adult
1709949,17,286638,14234,2005-03-02,Young Adult
2037539,1,932794,10324,1998-12-16,Humor
9605225,2,932794,10324,1999-01-07,Crime|Humor
7814412,3,932794,10324,1999-01-29,Humor
6758630,4,932794,10324,1999-02-17,Adventure|Humor|Mystery|Paranormal
2245033,1,364144,92511,1990-05-03,Historical Fiction|Crime|Romance|Thriller
2554839,1,685193,87994,1998-02-11,Crime|Graphic Novel|Adventure|Paranormal
9176292,2,685193,87994,1998-03-10,Crime|Adventure|Romance|Graphic Novel
5131126,3,685193,87994,1998-03-15,Crime
4394658,4,685193,87994,1998-04-21,Romance|Crime
4729475,5,685193,87994,1998-06-07,Crime
2074462,6,685193,87994,1998-04-17,Graphic Novel|Crime
2255890,7,685193,87994,1998-05-12,Fantasy|Thriller|Crime|Young Adult
8821958,1,173863,34697,2019-02-01,Romance|Science Fiction
1453802,2,173863,34697,2019-02-21,Literary Fiction|Science Fiction|Graphic Novel|Romance
4240903,3,173863,34697,2019-02-25,Romance|Thriller
4704280,4,173863,34697,2019-05-02,Romance|Science Fiction|Dystopian
6190861,5,173863,34697,2019-04-02,Romance
1561527,6,173863,34697,2019-05-02,Romance
3203406,7,173863,34697,2019-04-26,Romance|Literary Fiction
2236046,8,173863,34697,2019-04-05,Romance
5942511,9,173863,34697,2019-06-09,Romance|Humor|Paranormal|Horror
5248336,1,702891,36772,2014-07-30,Humor
2593527,2,702891,36772,2014-08-14,Humor|Dystopian|Graphic Novel|Paranormal
3606599,1,961530,15930,2014-05-03,Mystery|Adventure|Historical Fiction
8616945,2,961530,15930,2014-05-18,Graphic Novel|Crime|Adventure
9146905,3,961530,15930,2014-05-19,Romance|Humor|Adventure
1784566,4,961530,15930,2014-06-05,Mystery|Paranormal|Young Adult|Adventure
9710862,5,961530,15930,2014-07-02,Adventure|Young Adult|Fantasy
5684166,6,961530,15930,2014-06-17,Adventure
5584628,7,961530,15930,2014-08-01,Graphic Novel|Adventure
8985387,1,338703,56548,1998-09-13,Dystopian|Fantasy|Science Fiction|Horror
2806746,1,371212,62383,2005-02-25,Romance
2595136,2,371212,62383,2005-03-14,Mystery|Romance
3716217,1,527433,35751,1992-05-23,Adventure|Dystopian|Young Adult|Mystery
8692825,2,527433,35751,1992-06-15,Young Adult|Horror
5713714,3,527433,35751,1992-07-22,Adventure|Young Adult|Fantasy
5332975,4,527433,35751,1992-07-07,Historical Fiction|Graphic Novel|Young Adult|Dystopian
4761465,1,506881,39402,2003-06-28,Literary Fiction
5530325,2,506881,39402,2003-07-08,Horror|Literary Fiction|Fantasy|Historical Fiction
3527879,3,506881,39402,2003-08-27,Literary Fiction
9785833,1,573039,67954,1999-07-02,Humor|Crime
5026387,1,760830,67261,1999-01-01,Romance|Thriller|Adventure|Graphic Novel
3978233,2,760830,67261,1999-01-25,Crime|Adventure
6092639,3,760830,67261,1999-02-22,Horror|Adventure|Dystopian|Fantasy
4288700,4,760830,67261,1999-03-02,Adventure|Paranormal|Literary Fiction
7730332,5,760830,67261,1999-03-22,Literary Fiction|Historical Fiction|Adventure|Paranormal
2131521,1,524094,46463,1995-08-20,Humor|Mystery|Fantasy|Dystopian
7988236,2,524094,46463,1995-09-14,Humor
5130244,1,554059,79352,1996-03-04,Horror|Young Adult|Dystopian
2463997,2,554059,79352,1996-03-13,Young Adult
2650760,1,431773,25043,2007-10-25,Science Fiction|Romance|Graphic Novel
1545097,2,431773,25043,2007-11-15,Historical Fiction|Young Adult|Graphic Novel|Romance
6700759,1,117711,42990,1991-11-21,Historical Fiction|Mystery|Dystopian
4419902,1,508422,59987,1990-03-02,Crime|Science Fiction
4781126,2,508422,59987,1990-03-10,Crime|Graphic Novel
2914171,1,806004,30517,2018-06-22,Literary Fiction
3233774,2,806004,30517,2018-07-20,Literary Fiction
2816591,3,806004,30517,2018-08-03,Literary Fiction
1842278,4,806004,30517,2018-08-12,Literary Fiction
6514559,5,806004,30517,2018-07-28,Graphic Novel|Paranormal|Historical Fiction|Literary Fiction
2547877,6,806004,30517,2018-10-10,Literary Fiction
2961746,7,806004,30517,2018-09-02,Science Fiction|Thriller|Literary Fiction|Graphic Novel
4830916,1,224052,89194,2010-04-08,Romance|Paranormal
6728112,2,224052,89194,2010-05-03,Paranormal|Science Fiction
1599991,3,224052,89194,2010-05-08,Paranormal|Crime|Science Fiction|Thriller
3902108,1,660814,28322,2011-06-09,Literary Fiction
8698740,2,660814,28322,2011-06-17,Literary Fiction|Science Fiction
3154216,3,660814,28322,2011-08-04,Literary Fiction|Fantasy|Horror|Dystopian
6596545,4,660814,28322,2011-06-30,Literary Fiction
6472873,5,660814,28322,2011-09-01,Fantasy|Crime|Humor|Literary Fiction
2582967,6,660814,28322,2011-09-02,Literary Fiction|Humor
1576254,7,660814,28322,2011-07-27,Graphic Novel|Literary Fiction
4690734,1,106185,57707,2015-11-29,Science Fiction|Graphic Novel
6430287,2,106185,57707,2015-12-15,Young Adult|Crime|Humor|Graphic Novel
4466027,1,772580,93320,2007-08-15,Mystery|Young Adult
2655791,1,855274,39253,2008-11-15,Science Fiction|Literary Fiction|Crime|Horror
3244182,2,855274,39253,2008-12-14,Science Fiction|Historical Fiction|Crime
1261632,3,855274,39253,2008-12-07,Crime
9871054,4,855274,39253,2009-01-29,Crime
7437443,5,855274,39253,2009-03-03,Crime
5435950,6,855274,39253,2009-03-30,Paranormal|Crime|Romance
7132372,7,855274,39253,2009-03-21,Graphic Novel|Literary Fiction|Adventure|Crime
6921450,1,748386,67983,2007-03-06,Literary Fiction
8104902,2,748386,67983,2007-04-02,Literary Fiction|Dystopian
9077801,3,748386,67983,2007-04-21,Literary Fiction|Adventure|Thriller
8280735,4,748386,67983,2007-04-23,Historical Fiction|Literary Fiction|Paranormal
9238646,5,748386,67983,2007-04-07,Horror|Literary Fiction|Romance|Adventure
7263437,1,166309,19564,2009-05-11,Science Fiction|Paranormal|Fantasy|Historical Fiction
3433522,2,166309,19564,2009-06-07,Historical Fiction|Humor|Paranormal
2029100,1,892682,41348,2010-03-16,Romance|Mystery|Fantasy
5192668,2,892682,41348,2010-04-04,Mystery
5677533,1,882186,57303,2017-10-02,Mystery|Young Adult|Fantasy|Romance
9312471,1,714054,12559,2004-12-04,Literary Fiction|Mystery
7130210,2,714054,12559,2004-12-12,Literary Fiction|Crime
3245582,3,714054,12559,2005-01-23,Thriller|Dystopian|Humor|Literary Fiction
7754735,1,147727,32659,2017-01-27,Paranormal|Crime|Thriller
4839706,2,147727,32659,2017-02-10,Paranormal|Adventure
4787801,3,147727,32659,2017-03-24,Paranormal|Literary Fiction
2030350,4,147727,32659,2017-04-12,Romance|Horror|Paranormal|Graphic Novel
7102295,1,834928,22903,2011-01-12,Romance
6338027,2,834928,22903,2011-02-06,Romance|Paranormal|Humor|Mystery
6458856,3,834928,22903,2011-02-01,Young Adult|Romance|Mystery|Adventure
2743546,4,834928,22903,2011-03-16,Romance
3840357,5,834928,22903,2011-04-14,Romance|Historical Fiction|Young Adult|Humor
5148182,6,834928,22903,2011-02-26,Romance|Mystery|Paranormal
3463207,7,834928,22903,2011-05-06,Literary Fiction|Science Fiction|Mystery|Romance
6324713,8,834928,22903,2011-08-10,Romance
2476553,9,834928,22903,2011-04-18,Romance
4172587,10,834928,22903,2011-09-21,Romance
2583684,11,834928,22903,2011-06-01,Mystery|Graphic Novel|Romance
1000164,12,834928,22903,2011-04-21,Historical Fiction|Mystery|Romance|Dystopian
6164800,1,989455,55870,2004-07-04,Graphic Novel|Paranormal|Fantasy
7838897,2,989455,55870,2004-07-17,Graphic Novel
8893150,3,989455,55870,2004-08-27,Graphic Novel
8045312,4,989455,55870,2004-08-15,Humor|Graphic Novel|Romance|Young Adult
5242706,1,176115,92614,2018-06-08,Humor|Historical Fiction|Paranormal|Fantasy
4461424,1,475075,86380,1990-08-27,Mystery
7609652,2,475075,86380,1990-09-07,Mystery|Historical Fiction
1352309,1,627262,31020,1997-11-03,Science Fiction|Fantasy|Young Adult|Romance
6575256,2,627262,31020,1997-11-13,Young Adult|Adventure|Horror|Science Fiction
8429225,3,627262,31020,1997-12-17,Science Fiction
5324973,4,627262,31020,1998-01-17,Science Fiction
9184317,5,627262,31020,1997-12-17,Science Fiction|Romance
4495850,1,211291,73318,2005-02-25,Horror|Graphic Novel|Adventure
9673402,2,211291,73318,2005-03-07,Dystopian|Humor|Adventure
5400479,3,211291,73318,2005-04-24,Adventure
5046259,4,211291,73318,2005-05-08,Adventure
4334729,5,211291,73318,2005-04-14,Adventure|Literary Fiction
5107114,1,403915,47762,2001-05-05,Crime|Young Adult|Mystery
4506677,2,403915,47762,2001-05-15,Science Fiction|Young Adult|Mystery
3398210,3,403915,47762,2001-05-27,Young Adult
8170897,4,403915,47762,2001-07-01,Young Adult|Crime
2818961,5,403915,47762,2001-07-24,Young Adult|Dystopian|Mystery
4926649,6,403915,47762,2001-07-04,Paranormal|Young Adult
2922065,7,403915,47762,2001-07-10,Young Adult
3869304,8,403915,47762,2001-06-30,Dystopian|Young Adult
6406075,9,403915,47762,2001-06-30,Horror|Young Adult
1774896,10,403915,47762,2001-11-28,Young Adult
9461496,1,925115,15938,2017-12-01,Horror
7042430,2,925115,15938,2017-12-18,Crime|Fantasy|Horror|Graphic Novel
7702937,3,925115,15938,2018-01-28,Dystopian|Horror
4388192,4,925115,15938,2018-02-11,Thriller|Fantasy|Horror
9407696,5,925115,15938,2018-03-31,Horror|Science Fiction
5820152,6,925115,15938,2018-03-31,Fantasy|Horror
3969146,7,925115,15938,2018-01-24,Horror
2850337,8,925115,15938,2018-01-26,Romance|Science Fiction|Horror|Dystopian
6023880,9,925115,15938,2018-05-18,Horror
2421355,10,925115,15938,2018-02-11,Horror
7408899,11,925115,15938,2018-06-09,Adventure|Horror
9317929,12,925115,15938,2018-03-21,Horror|Adventure|Humor|Young Adult
3110697,13,925115,15938,2018-11-14,Horror|Literary Fiction
5118589,14,925115,15938,2018-11-30,Horror
8670728,15,925115,15938,2018-09-07,Dystopian|Horror|Humor
6830274,1,819195,54642,1994-09-11,Horror|Humor|Graphic Novel
3967405,2,819195,54642,1994-09-25,Horror|Paranormal|Historical Fiction
9644161,1,415989,48715,2006-04-10,Mystery|Graphic Novel|Crime
8617888,2,415989,48715,2006-04-30,Thriller|Graphic Novel|Paranormal
8806181,3,415989,48715,2006-05-30,Dystopian|Literary Fiction|Graphic Novel
6782988,4,415989,48715,2006-06-12,Graphic Novel|Dystopian|Fantasy
1685200,5,415989,48715,2006-07-23,Mystery|Graphic Novel|Young Adult|Dystopian
2922334,6,415989,48715,2006-08-13,Dystopian|Adventure|Graphic Novel|Thriller
8328952,7,415989,48715,2006-08-26,Science Fiction|Graphic Novel
2842075,1,736030,94939,2010-03-23,Humor|Horror|Thriller
1953543,2,736030,94939,2010-04-01,Thriller|Horror
6763668,3,736030,94939,2010-05-10,Horror|Graphic Novel|Romance|Science Fiction
2509482,4,736030,94939,2010-05-07,Horror
2105042,1,190707,75826,2011-06-25,Young Adult|Romance|Graphic Novel
7315297,2,190707,75826,2011-07-04,Adventure|Fantasy|Graphic Novel
3121021,3,190707,75826,2011-07-19,Graphic Novel|Adventure|Horror
4976169,1,395192,55982,1997-04-12,Graphic Novel|Fantasy|Adventure
2914620,2,395192,55982,1997-05-06,Graphic Novel
6295951,3,395192,55982,1997-05-02,Horror|Mystery|Graphic Novel|Paranormal
2097691,4,395192,55982,1997-05-03,Horror|Graphic Novel|Romance|Humor
1304239,5,395192,55982,1997-05-10,Young Adult|Paranormal|Mystery|Graphic Novel
7138057,6,395192,55982,1997-08-10,Graphic Novel
1876625,7,395192,55982,1997-09-15,Humor|Graphic Novel|Literary Fiction
9344645,8,395192,55982,1997-08-23,Graphic Novel
1115522,9,395192,55982,1997-09-27,Graphic Novel
6123757,10,395192,55982,1997-06-14,Graphic Novel|Horror|Fantasy
3039122,11,395192,55982,1997-07-01,Adventure|Thriller|Graphic Novel|Literary Fiction
7234200,1,902448,34219,1999-09-15,Mystery
9550137,2,902448,34219,1999-09-22,Mystery|Adventure
5336624,3,902448,34219,1999-10-05,Mystery|Historical Fiction|Young Adult
4599644,4,902448,34219,1999-12-05,Mystery
5340070,5,902448,34219,2000-01-13,Mystery
2116376,6,902448,34219,2000-02-02,Mystery|Graphic Novel|Romance
9524334,1,558936,91205,2007-07-07,Young Adult|Humor|Graphic Novel|Adventure
8999545,1,499941,65333,1990-01-28,Thriller|Mystery|Paranormal
6729912,2,499941,65333,1990-02-24,Graphic Novel|Thriller|Dystopian|Science Fiction
4184348,3,499941,65333,1990-03-13,Young Adult|Fantasy|Thriller|Graphic Novel
3411258,4,499941,65333,1990-04-13,Thriller
2730403,5,499941,65333,1990-05-16,Thriller|Adventure|Paranormal|Dystopian
3851958,6,499941,65333,1990-04-13,Thriller
7147948,1,514306,49132,2017-04-24,Adventure|Science Fiction|Horror
3060457,2,514306,49132,2017-05-02,Science Fiction|Literary Fiction|Romance
8109423,3,514306,49132,2017-06-05,Dystopian|Thriller|Science Fiction
6131122,4,514306,49132,2017-07-23,Horror|Science Fiction
2768003,5,514306,49132,2017-08-22,Paranormal|Science Fiction|Horror
4338144,6,514306,49132,2017-09-21,Young Adult|Literary Fiction|Graphic Novel|Science Fiction
4437619,1,962057,57964,2017-03-18,Young Adult|Graphic Novel|Humor|Dystopian
4294674,2,962057,57964,2017-03-30,Humor|Dystopian|Thriller
2593409,3,962057,57964,2017-04-11,Humor
3226243,4,962057,57964,2017-05-23,Humor|Fantasy
8959157,5,962057,57964,2017-06-22,Humor
2978718,1,792818,85598,2005-03-21,Humor|Adventure|Horror|Paranormal
4899487,2,792818,85598,2005-03-29,Adventure|Humor
7718312,3,792818,85598,2005-04-16,Romance|Dystopian|Horror|Humor
6478405,4,792818,85598,2005-06-13,Humor
3399359,5,792818,85598,2005-07-03,Humor
1781407,1,132316,45916,1990-06-27,Young Adult
9149353,2,132316,45916,1990-07-10,Young Adult|Romance|Horror|Literary Fiction
1456651,3,132316,45916,1990-08-02,Young Adult
8188062,4,132316,45916,1990-08-11,Paranormal|Young Adult
7487290,5,132316,45916,1990-10-25,Fantasy|Young Adult|Paranormal|Historical Fiction
8347911,6,132316,45916,1990-08-16,Young Adult|Literary Fiction|Graphic Novel
7213159,1,597012,74930,2009-03-09,Thriller
6686208,1,263917,52823,1998-04-15,Dystopian
3517396,2,263917,52823,1998-04-22,Science Fiction|Adventure|Crime|Dystopian
2557083,3,263917,52823,1998-06-10,Young Adult|Literary Fiction|Romance|Dystopian
5254937,4,263917,52823,1998-06-14,Dystopian|Historical Fiction|Humor
8988693,1,659381,85007,2020-08-27,Humor|Horror|Mystery
7673345,2,659381,85007,2020-09-03,Mystery|Crime
7458321,3,659381,85007,2020-09-20,Mystery|Adventure|Science Fiction|Horror
7432394,4,659381,85007,2020-09-29,Fantasy|Historical Fiction|Mystery
2460979,5,659381,85007,2020-09-24,Literary Fiction|Mystery|Humor|Dystopian
8969765,6,659381,85007,2020-12-25,Graphic Novel|Mystery|Literary Fiction
2272058,7,659381,85007,2020-12-13,Mystery
3995702,8,659381,85007,2021-03-18,Thriller|Mystery
4652013,9,659381,85007,2020-12-25,Paranormal|Mystery|Science Fiction|Humor
2236743,1,330545,95029,2019-05-14,Literary Fiction|Mystery
7558123,2,330545,95029,2019-06-12,Horror|Mystery|Young Adult
8627553,3,330545,95029,2019-07-11,Crime|Dystopian|Mystery
9355569,4,330545,95029,2019-07-10,Fantasy|Thriller|Mystery|Paranormal
3870683,5,330545,95029,2019-08-18,Humor|Mystery|Science Fiction
9065625,6,330545,95029,2019-09-11,Romance|Historical Fiction|Mystery
4884041,7,330545,95029,2019-08-18,Crime|Mystery|Fantasy|Dystopian
1056343,8,330545,95029,2019-12-10,Mystery|Romance|Graphic Novel|Humor
1510496,1,243006,24125,2004-12-21,Horror|Literary Fiction|Fantasy|Humor
1612354,2,243006,24125,2005-01-06,Horror|Literary Fiction
7546181,3,243006,24125,2005-02-09,Literary Fiction|Crime|Humor|Dystopian
6626207,4,243006,24125,2005-03-03,Literary Fiction
2610031,5,243006,24125,2005-02-19,Historical Fiction|Literary Fiction|Mystery|Graphic Novel
4690962,6,243006,24125,2005-04-15,Literary Fiction
6812729,7,243006,24125,2005-04-08,Adventure|Graphic Novel|Literary Fiction
9347754,8,243006,24125,2005-02-15,Literary Fiction|Graphic Novel
3770383,9,243006,24125,2005-05-06,Historical Fiction|Dystopian|Literary Fiction|Graphic Novel
5032602,10,243006,24125,2005-04-17,Literary Fiction|Horror
9843564,1,883028,21746,1992-04-20,Thriller|Dystopian
6154463,2,883028,21746,1992-05-09,Dystopian
3940509,3,883028,21746,1992-06-13,Science Fiction|Dystopian
6038383,4,883028,21746,1992-06-16,Science Fiction|Dystopian
3670208,5,883028,21746,1992-05-26,Mystery|Thriller|Dystopian
2060797,6,883028,21746,1992-06-19,Mystery|Literary Fiction|Dystopian
4739429,7,883028,21746,1992-06-19,Dystopian
5184825,8,883028,21746,1992-07-27,Historical Fiction|Dystopian
7071955,1,509985,42007,1995-05-09,Romance
5092425,2,509985,42007,1995-06-05,Dystopian|Romance|Mystery
9058144,1,935474,83249,1997-04-23,Young Adult|Graphic Novel|Fantasy|Humor
5170411,2,935474,83249,1997-05-03,Fantasy
1748421,3,935474,83249,1997-05-23,Fantasy
4009063,1,936223,57537,2017-12-21,Thriller|Mystery|Fantasy
9963546,2,936223,57537,2018-01-13,Romance|Mystery|Humor|Horror
8364637,3,936223,57537,2018-01-14,Mystery
5812321,1,990731,96136,1999-06-24,Thriller
2867517,2,990731,96136,1999-07-01,Science Fiction|Thriller
9148625,1,672233,98470,2003-04-01,Historical Fiction|Graphic Novel
6671563,2,672233,98470,2003-04-14,Graphic Novel|Literary Fiction|Humor
8632526,3,672233,98470,2003-05-11,Graphic Novel|Thriller|Science Fiction
3499533,4,672233,98470,2003-05-28,Graphic Novel|Fantasy|Paranormal
1284893,5,672233,98470,2003-06-16,Graphic Novel|Fantasy|Science Fiction
9174142,6,672233,98470,2003-05-26,Graphic Novel|Literary Fiction|Crime|Thriller
7651097,7,672233,98470,2003-09-28,Graphic Novel|Literary Fiction|Mystery|Crime
4707090,8,672233,98470,2003-08-19,Fantasy|Graphic Novel|Adventure|Literary Fiction
3050438,9,672233,98470,2003-09-08,Dystopian|Adventure|Graphic Novel
7007748,10,672233,98470,2003-06-03,Dystopian|Graphic Novel|Fantasy|Historical Fiction
2018285,11,672233,98470,2003-07-10,Graphic Novel|Fantasy|Crime|Horror
2053222,12,672233,98470,2003-10-16,Graphic Novel
1702155,13,672233,98470,2003-07-30,Horror|Crime|Thriller|Graphic Novel
5456985,14,672233,98470,2004-02-07,Graphic Novel
2775271,15,672233,98470,2003-10-28,Humor|Graphic Novel|Romance|Dystopian
3077727,16,672233,98470,2003-08-29,Mystery|Graphic Novel|Literary Fiction|Science Fiction
1747397,17,672233,98470,2003-11-11,Graphic Novel|Humor|Dystopian
4732990,18,672233,98470,2004-02-18,Graphic Novel
5597464,19,672233,98470,2004-04-13,Graphic Novel
5398123,20,672233,98470,2003-10-27,Dystopian|Science Fiction|Graphic Novel
7350259,1,409307,79774,1993-12-27,Literary Fiction|Graphic Novel|Historical Fiction
2010148,2,409307,79774,1994-01-24,Literary Fiction|Historical Fiction|Young Adult|Science Fiction
2999183,3,409307,79774,1994-01-28,Historical Fiction|Graphic Novel|Horror
7696996,4,409307,79774,1994-01-26,Historical Fiction
7222831,5,409307,79774,1994-03-25,Historical Fiction|Humor
6601221,6,409307,79774,1994-02-05,Historical Fiction
3243209,7,409307,79774,1994-06-07,Horror|Literary Fiction|Historical Fiction|Crime
7882042,1,764845,59968,2020-10-19,Historical Fiction|Horror
5608184,2,764845,59968,2020-11-17,Horror
6562318,3,764845,59968,2020-11-10,Literary Fiction|Horror
6532476,4,764845,59968,2021-01-08,Paranormal|Horror|Thriller|Science Fiction
8384020,1,251074,82420,2008-12-20,Romance
7256241,2,251074,82420,2009-01-04,Fantasy|Mystery|Romance
5292876,3,251074,82420,2009-02-18,Dystopian|Romance
8971218,4,251074,82420,2009-02-03,Romance|Thriller|Mystery|Fantasy
8039954,5,251074,82420,2009-04-15,Romance|Dystopian
8218477,6,251074,82420,2009-04-19,Romance|Literary Fiction|Fantasy|Mystery
9354992,7,251074,82420,2009-04-01,Romance|Historical Fiction
1709178,1,412534,27125,1991-05-21,Dystopian|Historical Fiction|Mystery|Romance
5773327,2,412534,27125,1991-06-13,Paranormal|Young Adult|Mystery|Adventure
3820212,1,810189,99733,2002-01-12,Young Adult|Mystery|Science Fiction
4989718,2,810189,99733,2002-01-24,Science Fiction|Young Adult|Mystery
2462946,3,810189,99733,2002-03-11,Adventure|Thriller|Young Adult
1716124,4,810189,99733,2002-03-28,Young Adult|Thriller|Paranormal|Romance
9285718,5,810189,99733,2002-03-25,Thriller|Young Adult|Dystopian|Graphic Novel
3110963,6,810189,99733,2002-06-01,Young Adult|Romance
9237783,7,810189,99733,2002-04-12,Science Fiction|Young Adult|Graphic Novel|Mystery
6139429,8,810189,99733,2002-06-29,Young Adult
6029822,9,810189,99733,2002-09-09,Young Adult
4105631,10,810189,99733,2002-04-30,Fantasy|Dystopian|Adventure|Young Adult
9793040,11,810189,99733,2002-05-12,Literary Fiction|Young Adult
1289458,12,810189,99733,2002-05-13,Young Adult
1382464,1,933635,91230,1997-08-15,Romance
9746973,2,933635,91230,1997-09-14,Romance
9920424,3,933635,91230,1997-09-06,Thriller|Young Adult|Mystery|Romance
9534533,1,864752,94717,2007-11-19,Horror|Dystopian
4098729,2,864752,94717,2007-12-05,Literary Fiction|Dystopian
2970040,3,864752,94717,2008-01-04,Mystery|Dystopian
7244923,4,864752,94717,2007-12-25,Dystopian
2816519,5,864752,94717,2007-12-17,Graphic Novel|Paranormal|Dystopian|Adventure
1155974,6,864752,94717,2008-01-03,Dystopian|Fantasy|Romance
2186200,1,779414,28344,2000-05-10,Graphic Novel
2118082,2,779414,28344,2000-06-02,Graphic Novel|Young Adult|Crime
6049805,3,779414,28344,2000-05-24,Graphic Novel|Historical Fiction
9013228,1,491255,44003,2003-01-04,Romance
7936489,2,491255,44003,2003-01-27,Romance|Dystopian
4991722,3,491255,44003,2003-02-05,Romance
1626305,4,491255,44003,2003-03-17,Dystopian|Romance|Paranormal
6121014,5,491255,44003,2003-02-25,Literary Fiction|Romance|Paranormal
7310671,1,111691,90147,1998-09-24,Horror
7156024,2,111691,90147,1998-10-03,Humor|Horror|Science Fiction|Literary Fiction
9167939,1,680412,41147,1991-10-09,Humor|Mystery|Horror
3576209,2,680412,41147,1991-10-21,Mystery
1377986,3,680412,41147,1991-11-14,Mystery|Science Fiction|Horror
9851306,4,680412,41147,1991-12-26,Mystery
6821803,5,680412,41147,1991-11-10,Historical Fiction|Young Adult|Mystery|Crime
6894021,6,680412,41147,1992-02-26,Mystery|Humor
1260977,7,680412,41147,1992-02-12,Mystery
8166618,8,680412,41147,1991-12-25,Mystery
7856169,9,680412,41147,1992-01-29,Mystery|Romance|Thriller|Paranormal
5855899,10,680412,41147,1992-03-19,Adventure|Mystery
6668344,11,680412,41147,1992-06-25,Mystery
5423122,12,680412,41147,1991-12-25,Adventure|Mystery|Crime
1937878,13,680412,41147,1992-04-18,Mystery|Romance|Crime
2623810,14,680412,41147,1992-09-11,Humor|Paranormal|Mystery
7221266,15,680412,41147,1992-09-23,Fantasy|Mystery|Crime
5874550,16,680412,41147,1992-04-21,Mystery
3209395,17,680412,41147,1992-11-12,Historical Fiction|Mystery
9164346,18,680412,41147,1993-02-13,Mystery
9699035,1,682032,89730,2011-05-23,Adventure|Crime|Graphic Novel|Science Fiction
2351412,1,248241,85061,1997-04-04,Graphic Novel
3015051,2,248241,85061,1997-05-01,Graphic Novel
4688978,3,248241,85061,1997-05-16,Graphic Novel
1935604,4,248241,85061,1997-04-25,Graphic Novel
3658955,5,248241,85061,1997-05-26,Graphic Novel
2779294,6,248241,85061,1997-06-28,Dystopian|Thriller|Graphic Novel
5206939,1,229221,31679,2018-10-23,Young Adult|Horror|Historical Fiction|Humor
8922919,2,229221,31679,2018-10-31,Dystopian|Horror
1403521,3,229221,31679,2018-11-24,Horror|Thriller|Crime|Humor
5515316,4,229221,31679,2019-01-06,Adventure|Horror|Humor
4419831,1,143802,13365,1998-09-09,Young Adult|Paranormal|Mystery|Adventure
3689365,1,105274,54541,2010-06-28,Humor|Young Adult
5263745,2,105274,54541,2010-07-17,Humor|Horror
4614753,3,105274,54541,2010-08-21,Historical Fiction|Humor
7059215,4,105274,54541,2010-08-18,Adventure|Humor|Graphic Novel
